date,Instagram_spend,Google Search_spend,YouTube_spend,Influencer Networks_spend,E-commerce Marketplaces_spend,TikTok_spend,Programmatic Display_spend,total_conversions
2025-07-09,57384.665799954106,56228.499323474985,57077.51935455475,37723.921848630074,41818.01116577693,45891.85712045415,50142.73067836434,2025
2025-07-10,51713.68281189971,39323.79570617406,44375.332241057324,55974.00069849858,49966.25542589048,38942.95331514064,40460.60580603355,2023
2025-07-11,48843.517176117595,48576.20514978706,56324.07739055521,57011.72742310898,48298.15377475072,47850.78969711265,45929.636870732196,2026
2025-07-12,46988.96304410711,51202.95631711899,59725.5444962673,47024.364966400084,45467.71950672725,46919.65715814259,56863.184569567005,2030
2025-07-13,35214.780096325725,55144.38834058749,56218.09962217196,63757.06813311619,56963.87447456715,57796.6053226934,51058.944531152345,2036
2025-07-14,42801.557916052916,57116.1487808889,34297.752801095434,48499.44412967473,59553.05208570511,63103.08746119608,55844.12980472484,2035
2025-07-15,45393.612290402125,38753.57908162131,42728.628241751314,51255.764534715425,50884.06886291847,63956.83810789956,69764.40584515486,2037
2025-07-16,60571.222262189156,34658.85829264378,47524.81364448495,48269.281757161305,64775.30081055262,44378.31973421698,34357.583882889485,2030
2025-07-17,53436.182895684615,62776.76821898509,49255.665708999535,50155.790475814676,38583.10885866495,47907.78126255472,66172.12574968624,2031
2025-07-18,32369.59844637266,53323.14011979592,56206.72097550678,39037.24913104798,48063.405407202816,33165.618077790496,51043.55937523213,2026
2025-07-19,53240.83969394795,42515.134634434464,51777.01000933254,35599.49117405705,42831.77679397195,41941.299335038115,41012.15951676872,2018
2025-07-20,46149.17719583683,65511.51975522523,36646.556412898986,65945.05063224972,31334.6338292694,59648.51633097458,36696.863742610105,2012
2025-07-21,43230.779996940415,51156.746342928585,53801.978510059635,41530.386516816725,49173.19314157301,66155.82823548232,48108.79609222966,2021
2025-07-22,56116.76288840868,61792.97184063826,56105.85745283823,40086.076505436926,48782.52491616717,37656.51128120078,59216.501119244596,2025
2025-07-23,60309.99522495951,50675.18481410109,55597.9044793104,28466.098863962852,65134.49743242131,44075.357408471056,48724.508796224654,2025
2025-07-24,59312.80119116198,70607.47924881987,60807.80725554622,43610.38252310498,56308.116845547775,49735.94243041073,65111.549302473475,2031
2025-07-25,41607.824767773614,67553.40842443204,58339.22154548904,36769.10206592502,39758.13175670795,52801.611588196065,35488.24309948441,2014
2025-07-26,46907.87624148785,47510.358515209264,54591.80079228437,66420.15160136369,68540.92566334188,41903.964800783535,49879.11052153946,2023
2025-07-27,53312.63431403564,59715.70950954355,49298.34288541353,60098.170893426344,62210.33695525353,54240.6104446409,37476.06555586881,2017
2025-07-28,59755.45127122359,56453.759495851475,33390.39066484009,43118.49654822276,55820.977034686155,45261.60652929084,53636.31882624968,2012
2025-07-29,45208.2576215471,63686.31557532349,54296.18219132586,72524.35805344308,47735.15901150168,49855.47729121721,58868.873900973005,2013
2025-07-30,48143.41023336183,40350.765394198956,52076.87687163111,59817.65486991595,40405.607632765204,55462.842480037,45792.38206318947,2002
2025-07-31,38936.65025993972,56860.514599984395,52715.788371953735,46751.68616491377,46277.93223928947,50064.22269810938,23957.861433728656,1987
2025-08-01,38037.93375919329,60584.24486849588,37232.514241796904,25005.94285126427,60887.48619704186,45636.14109473431,51989.48146796494,1989
2025-08-02,58125.25822394198,32412.605135768856,39189.43459591738,72909.42572590742,68845.8630593461,48903.90196074169,54367.3855173351,1996
2025-08-03,63562.40028570823,38167.41487334225,60531.52853332904,36104.275332364035,65432.43528272189,49116.37040794665,54042.947549616976,1994
2025-08-04,49279.89878419666,29607.678222398994,49604.44846143345,33546.01253043108,45111.50578213726,46299.88970117872,62357.82191822154,1983
2025-08-05,60035.32897892024,47305.93165555442,56815.006973726246,60225.7043200964,38803.825667109886,47412.039373328975,39289.46320350951,1973
2025-08-06,53616.36025047634,57175.422557959624,50283.18376130461,74397.52406339273,51408.86246911204,65986.47170504717,56802.1610545045,1980
2025-08-07,43548.80245394876,65023.57052096028,50297.561394957454,63842.72818510518,32315.606344371485,55609.194479412385,61925.075124779745,1971
2025-08-08,53613.95605508414,50740.94780419775,59382.838059759975,55639.091200523595,53231.67714184782,47045.1968197084,32214.124159934832,1963
2025-08-09,65380.365664659694,66286.15545571291,44839.552717826264,55947.54341665286,48523.97413701331,56969.54404510736,53196.518259189776,1963
2025-08-10,49641.73960890048,36198.98541785109,50961.20776940983,58534.15558780308,45339.63498131758,46661.8051024399,44958.201689923284,1952
2025-08-11,65646.43655814006,32966.17560644845,45377.247112949575,57589.28589786765,34052.969327332044,61731.24637586641,49184.77326898354,1942
2025-08-12,23802.548959102558,49444.52301103381,45655.03772567684,52811.91423969376,55136.001065697164,53696.42192198094,53476.764835383365,1941
2025-08-13,58219.02504375224,53840.65448939307,46908.278765313604,51042.01103951876,44672.991603380884,48926.97855995771,45127.714358864476,1932
2025-08-14,50870.47068238171,49673.05251905907,52221.337716337126,49374.068721004776,38300.831642897116,54477.169258102775,43242.91920838388,1923
2025-08-15,47009.92649534132,29325.578999601235,45212.513783365226,42460.35411133324,21277.377867183506,34291.238479315005,50341.524174880244,1903
2025-08-16,50917.607765355024,49108.79960487212,62557.56125573521,47193.24923133226,49724.85094949364,38732.32531090195,39127.54061137197,1907
2025-08-17,30124.31085399107,36955.30499495147,41053.926977804964,33070.43185804614,67722.51596669744,38060.749936009444,39141.748711148146,1901
2025-08-18,47803.28112162488,56696.725488300384,48131.28355838641,49016.6037320525,66612.5921454787,51429.43094763707,56793.73282956504,1907
2025-08-19,53571.125715117465,53665.98246096848,45602.689417258254,40114.088928490826,45429.03743413728,67325.14999485092,38512.05964841344,1893
2025-08-20,64778.94044741516,40601.202136726446,64469.77884353733,38964.10682784229,43977.879396382195,72313.00146192632,56663.12500909212,1894
2025-08-21,44817.29781726353,44861.330826633064,51965.54776511575,51798.94151153479,54687.74256075024,56380.51101440757,54625.91292853951,1890
2025-08-22,41915.06397106812,39407.86478111048,60318.44539468635,63920.02286344599,40016.14560811708,55008.44474944457,32741.932712094032,1873
2025-08-23,44982.429564154634,49373.20902726828,35144.39626963028,59183.166060023126,53017.91899819466,31989.42265847261,43224.353476643446,1865
2025-08-24,59154.02117702074,59551.42320501238,52670.50265869259,34294.993963768226,57660.8027838469,44573.26200265978,61941.09403047372,1868
2025-08-25,53287.51109659684,40142.73953664456,58896.30795623437,40103.71863429662,62269.332238843075,42122.162480917614,40188.34468860318,1858
2025-08-26,44702.39796232961,55040.46515517844,50822.839892754244,59407.71187988216,48998.45923520047,43791.52401748884,45355.957376906124,1850
2025-08-27,55132.67433113356,44697.423816275594,60654.80375065351,40175.1260646169,47963.26249823034,48318.561814152104,54620.60893251897,1845
2025-08-28,50970.7754934804,42071.27167737656,44827.11549899628,47753.66850002975,41220.17413243439,45279.094223028726,57833.90509282595,1835
2025-08-29,59686.44990532889,48929.69640045442,64093.4744018558,55500.52099024552,41731.1964596014,30207.001896242124,47484.61113955504,1827
2025-08-30,42979.469061226475,39647.57677580626,72988.9812361925,40316.555451363645,47735.21108098473,57479.102561175336,44024.89805308358,1822
2025-08-31,46723.37853402232,44463.50694652818,46371.61439560341,51053.7550614596,53673.65506816178,39272.56974260193,64223.69861698508,1820
2025-09-01,46078.91846867842,38021.22107411151,45544.97478599228,36659.74505081795,59135.846262332496,52392.468641111496,67388.9966379758,1815
2025-09-02,35364.85051867881,69647.25132916389,64533.84477117701,43986.323560487865,41968.21049319655,70740.82669749974,59788.580507817955,1808
2025-09-03,52961.20277064576,50352.63551971729,65795.72145730713,53197.81934142537,64926.88568959522,40806.154084135764,50853.18142565024,1806
2025-09-04,52610.55272179889,43002.74492007415,44771.39972846732,34070.06266468331,47288.76398957431,24697.124772536703,41917.342783590735,1783
2025-09-05,50051.13456642461,52139.799107342216,45798.13182904143,54404.74737960399,49786.32705651564,47139.95778119889,41695.55593443435,1777
2025-09-06,47654.12866624853,48876.7195030917,47182.153911394926,49803.62201073319,42527.883208521765,61009.59634998571,55225.14105265758,1773
2025-09-07,35846.29257949586,47790.30400466777,36555.49488965723,55524.89954417148,25757.597397270583,69583.47454220593,54183.98220888684,1758
2025-09-08,45793.54677234641,56141.66700043425,40813.480535158014,52239.141340646616,58840.4539636105,37704.50405547583,64015.985929464296,1764
2025-09-09,46572.85483473231,57575.07710047305,39958.592332479326,63641.40429973844,57368.43897092433,54966.99223236521,56504.50092536139,1761
2025-09-10,41977.22730778381,44694.988523894724,42322.024348958716,51252.245026479075,47186.72442881786,45346.89543219947,34969.196982401816,1742
2025-09-11,48387.14288333991,44241.8175935532,49653.15112613219,45705.94458874747,50669.90717224872,48940.51645695864,60519.47617722918,1743
2025-09-12,54040.508568145386,47249.48302848356,52342.14732536521,51222.975030322836,55159.392177040994,76443.43347017035,40019.39372685587,1738
2025-09-13,68861.8590121053,26980.78835264415,65505.00492814077,55432.98029036388,34374.541431134574,34970.29671604847,46160.287280476485,1727
2025-09-14,51745.77812831839,34848.089378014476,40016.45959261209,50488.60070325704,44709.473226537055,52537.396614945734,52502.00206251694,1721
2025-09-15,52575.50390722764,63668.742674445246,59843.223984765835,50405.916912038825,57942.64679621827,54676.93171765433,69956.67489783964,1730
2025-09-16,49255.54084233833,66449.67713501284,47860.11155774491,42980.08312193245,37457.105768307505,60857.86324939347,81099.18556005361,1723
2025-09-17,30812.287847009586,47509.63960443622,49505.362903475674,43370.99082449052,52935.57932166629,50979.83153470895,56067.230591361826,1713
2025-09-18,49734.86124550783,55765.569630557664,56748.194921666036,35973.947282003064,36434.18195376595,53080.50539504102,48168.03381279612,1699
2025-09-19,50602.30209941026,53112.50154543536,38772.77978437701,67495.76743186939,54664.29982433526,46083.51432578209,55345.0564848055,1700
2025-09-20,74632.42112485286,80788.80808455238,53824.09746184051,37561.36764608715,49643.58517702516,52691.269412451074,58876.55425873836,1700
2025-09-21,48076.39035218878,61195.74911434577,51664.52208213056,43070.948022040924,33848.681840944904,46568.077245025896,46793.32374442808,1684
2025-09-22,53015.47342333612,48720.82408519233,54924.51264008149,42815.927344308024,61647.393544571714,56215.71889856051,67952.11355912322,1694
2025-09-23,49652.88230294757,40444.59559399574,52891.686439078185,58949.24376944441,42654.08423201951,46303.89663956366,52300.70759191402,1682
2025-09-24,38313.21962380468,33935.536797424276,74553.00139910894,47050.50321707972,41897.47562985619,53771.003939021866,54977.43089091394,1676
2025-09-25,61428.228145150206,52034.63635867223,43622.60015748684,62477.42072673734,52005.691972309425,49707.37186315022,56659.24252054461,1676
2025-09-26,57519.33032686774,42436.492547156966,44690.03044998182,43265.09375756131,61486.37349428715,61260.502507721685,54215.86610614456,1673
2025-09-27,57910.31947043047,35777.462904023254,43768.594735752355,52789.94162223802,39841.78181021603,49486.06276411514,58389.40500469612,1663
2025-09-28,40906.12545205261,43534.27115757474,44445.228808397456,41646.529467402426,50616.798498479715,32269.675317931185,43827.46813453077,1652
2025-09-29,64027.94310936099,39184.51996385605,43626.128726934825,71451.49127773388,54288.16500330573,62619.215007139916,44416.98246053969,1655
2025-09-30,35981.489372077194,66871.41635072565,61890.165311075514,38124.01580970487,56931.05607263144,40942.67699137381,38998.45767028305,1650
2025-10-01,55868.570938002704,58816.397569494504,64205.04247989855,53098.20710227027,51764.415552772254,43462.3366135118,54395.01230620226,1653
2025-10-02,71904.5562580998,49920.27358683383,44292.53706250524,56337.76880932099,46329.72160916678,44043.38705956508,57789.36503512114,1651
2025-10-03,40094.63674869311,64799.44138890026,41676.44426895771,54137.990974514985,41724.0977935128,63744.380931708176,54577.72866151886,1645
2025-10-04,44337.02270397228,50773.68307647618,54714.15556386404,48147.123411222914,50861.43883046375,28643.257860213045,66744.92433347537,1646
2025-10-05,50996.51365087641,41387.157986717364,44477.76955719029,48701.79300266574,39278.60988014393,81377.48533659993,49944.03981170953,1638
2025-10-06,44965.243458838006,65231.240772696576,56329.318177555106,50438.1147197911,20786.495165053926,60560.56809066052,56687.41655592513,1629
2025-10-07,34493.36568933867,55389.10043684659,52029.230208513,48529.979983715115,54365.598041576675,52232.3891412916,39082.99123860686,1632
2025-10-08,50685.62974806027,39627.538456735434,34842.55885002768,59638.79116794909,59039.34841086195,49451.05999383714,46129.00297525599,1633
2025-10-09,39376.962862738954,48096.61321916392,65475.052013300614,72105.23001591352,26370.675644581617,52855.54074857657,56955.377575657774,1629
2025-10-10,54735.924306351815,41243.817466152424,67958.77673095521,44425.08214992166,39902.69295290062,55211.22428379338,58491.02110743144,1632
2025-10-11,40805.75765766197,36172.00269035664,43872.113095156135,36301.970204209225,56191.542610051976,56452.15585950057,47060.33052335818,1630
2025-10-12,65499.344050175394,59261.77547531641,46122.98440064016,49117.17951648745,70574.95469711699,55556.04466003449,49284.00748141933,1638
2025-10-13,42167.46707663763,69094.1664047013,52858.65390724905,75797.09337654318,50207.93707675408,50895.80681255249,34821.262533191904,1632
2025-10-14,46779.384837943246,36014.324261808586,53344.56789987025,41963.254320302694,42719.97058770865,48026.61579692674,46429.70799193391,1626
2025-10-15,58135.1721736967,55629.69236690571,56585.4427267283,66391.16805444067,48171.0355889516,48487.26716346488,58903.83163519786,1636
2025-10-16,37691.35683566045,43493.57430878173,70102.0453876635,66777.0081407644,63748.76419148185,48050.91719647319,55752.050161065665,1643
2025-10-17,52274.599346041294,45128.74616235304,48230.5277250595,44464.11758292005,43540.358208754646,61337.700968670644,55006.6572138121,1636
2025-10-18,63071.42754282428,44076.06075761131,42017.02755461546,55689.83079185276,42008.079933497465,55935.56722280862,50497.736871809604,1633
2025-10-19,33925.167654387726,41360.09230320184,36206.807719854725,66283.96623128538,45172.56477817967,20596.1136533572,50070.631586281765,1626
2025-10-20,51846.33858532304,50485.21627944827,42690.69960058081,46208.72259012513,40466.713917412875,56559.00776529761,43396.78860526553,1625
2025-10-21,52598.82794248423,41690.49883588962,49668.73027126203,47964.19639897638,51226.70315994795,51947.36194718775,56988.284202025345,1635
2025-10-22,57818.228717773105,52704.56825779839,67945.57863517788,44183.19086051356,66246.7845846956,49812.912435541024,54209.7294438939,1648
2025-10-23,37630.49289121918,49497.61890550863,44823.88700963829,39852.43269307133,53230.79273116029,46114.81546911114,54920.188479927994,1643
2025-10-24,36795.433869157234,47610.5195313359,52237.87951638899,43507.22454933993,47476.46497873712,61241.12719986014,44739.6515733242,1641
2025-10-25,55219.415656168974,40924.36337958402,49835.77103927248,37760.59733237744,47081.88731084456,59475.264621228576,28466.570801287555,1634
2025-10-26,52969.84673233186,44232.286694316674,61883.93273448084,50340.83468259226,34368.09191303343,42271.22332176391,60971.527117536956,1644
2025-10-27,52504.92850345877,57553.91225825756,75269.32425873622,42300.26768941358,58831.09777147159,54070.52287124535,45211.62543991596,1656
2025-10-28,53464.48209496976,55009.17187624381,44691.31227079679,52337.85911790748,49221.62802987198,40283.432654587144,41372.242359568794,1653
2025-10-29,43199.75278421509,40224.44755201449,45105.605574817775,34441.04353796373,48195.20086409374,36203.8183521107,56934.78911913994,1654
2025-10-30,52322.53697161003,50993.32305429226,60441.60877069072,53308.80232214457,81931.0756784486,43732.82775410035,46079.87360080871,1670
2025-10-31,52930.72473298681,57513.87123371789,56818.914896263115,58335.28961608925,52987.52908365686,58623.93472382759,60599.36384046622,1677
2025-11-01,42856.48581973632,33305.94718878628,68467.07325736033,30062.643574285445,42482.089499048154,59531.25045376087,56170.059495766975,1673
2025-11-02,68657.74511144757,55433.60192379935,55839.28185325964,53740.56569847572,45736.42403794457,55130.85420097293,56835.69323200478,1681
2025-11-03,54738.329209117874,43373.76241054153,46407.0790921294,62276.68992473292,61484.457091967546,57250.95786847997,36340.44288799466,1683
2025-11-04,38086.965027973514,55705.986685931595,55906.54830692309,37903.58981308794,51132.70410537764,55161.78287114958,62119.43985386401,1689
2025-11-05,56565.536086338296,42367.408434574834,61087.03580582907,66725.72386837704,35617.22021682633,43585.184047770475,52612.50531233856,1689
2025-11-06,40253.183297726784,31951.17899335481,58204.82181197364,54190.19009366045,59192.28934575203,54319.22544673941,46307.22860753797,1696
2025-11-07,57870.84603742452,33724.57562116838,55072.74031107298,42949.88144241591,43318.55914461006,58004.09525227682,51433.88467342251,1697
2025-11-08,61585.95579007404,50480.84946661382,60666.74689589154,49442.30922342294,68732.97776217546,57542.91329813574,32237.6476710168,1706
2025-11-09,41793.1768164829,52597.22501721482,61692.95590445673,55583.26912521722,60800.48065714649,61889.13371474643,54086.52811480671,1718
2025-11-10,59633.76129244322,40956.83374895591,63821.589910375274,50760.05391412412,45526.78104341249,57083.03847201064,39706.284918179284,1716
2025-11-11,54127.80926936498,56385.92458777374,56487.09887589642,55387.55992446369,62810.16361735113,53514.48207541583,36473.29714156465,1724
2025-11-12,58220.6015999449,33384.7993773104,48328.81919683146,40793.264069206336,50678.555105274034,60701.502383164276,34776.40813782109,1722
2025-11-13,68967.92982653948,49339.20201352683,51467.13686433323,51693.60824036078,58527.7367512222,49734.7874075094,61126.88374989925,1740
2025-11-14,47546.11883997129,37889.83800237543,62065.089665083564,35862.8550309502,54847.32817294475,41181.253487722825,43707.36606307211,1739
2025-11-15,42462.6383564251,43481.63892197841,41830.64329012764,48887.739386513,41536.43345009127,48369.33036056236,65337.27709916499,1744
2025-11-16,41104.85570374477,50473.98671316414,53686.733088729015,40960.9235853521,43564.50167682538,42550.97355193551,44641.98536947702,1744
2025-11-17,41841.89715034562,41395.866347160474,46066.61187672639,42644.70057410233,60299.60817581161,43248.21725025619,32926.42042407053,1747
2025-11-18,49228.98290585896,46154.44455770175,50287.44822934818,62360.93175210437,46652.24667893459,48554.813292844825,38834.75560051341,1754
2025-11-19,53411.519748166436,60062.92809214441,62784.51862607299,60913.10120594269,45963.51536758003,42075.80079000039,62358.11620006939,1772
2025-11-20,52766.90799330019,44231.081304768515,51910.99068019904,56091.38120907177,40448.77420650647,46920.3847036096,48441.01822063333,1774
2025-11-21,58271.83249036024,58356.921120651416,50464.36548156149,39076.87235327421,54235.99065593461,31063.853330462145,44517.12703509399,1780
2025-11-22,50130.01891877907,38702.93145342382,36401.43859020081,46835.91550305198,70625.24919243145,52132.93707372939,51600.18225852788,1792
2025-11-23,64535.34077157317,55298.04177915283,57462.53566027221,62130.976999791834,39324.67085745727,50012.054753622244,55017.82736167545,1799
2025-11-24,47353.43166762044,64415.686206579005,56454.841811410755,51417.16913639905,50242.19456672758,41829.113689318096,61173.98815902461,1809
2025-11-25,77201.69166589619,25283.554998727108,71632.5472330546,73193.29539981694,64122.205554154294,56592.456684324054,64484.99229892926,1829
2025-11-26,56256.67347765006,42031.04744529523,46922.21765046999,53933.178393943715,49203.58608754285,59375.701376265584,46402.31354210914,1825
2025-11-27,41428.42443583717,55770.7212718054,52191.50327663939,51920.49116490032,54523.717962497336,33924.401356310256,36739.52313917962,1823
2025-11-28,39291.075019388874,47969.54613957007,52493.836837107556,46908.83535797499,39376.064718531205,42372.75221433786,45865.34838876724,1823
2025-11-29,54824.72415243185,53711.45873371309,65774.53279763475,51335.409047822825,54283.070972076486,42308.57650212702,52602.80506582886,1840
2025-11-30,47765.372146741494,43960.148132841794,49047.04467613048,48475.30163619456,48128.55734995451,40600.96898891135,40362.41073789389,1840
2025-12-01,57140.00494092092,50865.897874729,52790.21525770339,57081.08676688591,59857.299956798626,58294.74841931748,40428.49085104957,1852
2025-12-02,54732.376245735446,48443.227646079205,56078.96509716539,59567.02316794584,61873.86051564751,48061.73861227196,53437.87881549886,1866
2025-12-03,49271.71087343127,61677.820616598074,51866.09123156358,42140.10539492051,75895.63642018614,47354.85158689389,49513.47648429549,1875
2025-12-04,41532.06281931595,52544.20843301213,45535.66385449472,36687.67046442222,55796.33173213575,29961.376355932465,50327.96995411586,1872
2025-12-05,34851.52775314135,53376.02662075202,51940.899928983075,31637.946268967033,53257.96316582167,56354.18030209227,42415.04665299931,1874
2025-12-06,45534.85047932979,45881.23033877533,60736.317498597724,55079.913269125434,51943.84301577336,37607.416051465276,47695.99285794233,1883
2025-12-07,58563.98794323472,45123.93775927507,39734.8470058894,38966.33393826126,46468.33707189312,50599.326302663285,40757.66855731695,1883
2025-12-08,52140.93744130204,45674.41812180379,51329.69674146876,28471.09407047517,53384.83843461691,52773.769379581914,58901.98411124787,1896
2025-12-09,37542.61221288012,53944.52142378297,42998.791850608264,53885.786045309644,47045.9858986097,63606.58595838651,60352.49334723753,1906
2025-12-10,51731.80925851182,45790.15519179737,61950.46628924843,74929.99517432791,51684.60976269614,36911.79600880888,31538.121377619063,1909
2025-12-11,53853.17379728837,52897.74856896413,34768.13095216225,49939.29088460107,63175.975356079594,19804.878441791745,40704.891398075895,1911
2025-12-12,41161.42563798867,70754.00798645438,44410.78152728412,58384.907744516415,39934.57434720359,51838.495447536945,35034.70744909921,1912
2025-12-13,51537.25105945528,58711.247034316926,53772.11875064521,50818.29358547565,61398.785611290456,68005.11181510854,43499.760655931015,1930
2025-12-14,50582.08718446,46739.76467832159,65655.2402923434,49011.10346808857,63171.15067339865,62389.46352939437,49165.620302096395,1944
2025-12-15,38570.29702169377,62012.139221639445,49342.497389270124,59190.764829877684,48819.314730089216,52096.59415274626,35503.5478030147,1940
2025-12-16,53577.87360348283,45919.24626978449,44448.00473306802,47097.254558113484,28781.451009914053,45083.63814367953,40781.40186874687,1934
2025-12-17,55607.84526368234,29618.75464822146,68811.5706944059,52673.92314071903,43921.780129055674,58071.2259663731,39960.42627918501,1946
2025-12-18,60830.512431752766,39919.13689082596,35519.86099583756,53216.97806196014,62969.94546561109,40264.53800295531,52072.67329398944,1959
2025-12-19,60538.02052034903,31292.08078974144,28011.94043379918,43319.09546356951,49771.319377011176,54763.57769356219,50693.4433703625,1958
2025-12-20,36223.30632042909,46484.865159586916,54400.14450053332,59920.42349536523,40006.97767705089,55054.70159166627,42782.624466627465,1961
2025-12-21,40621.74960084877,50184.18379189551,44979.45775647389,48250.402433045914,44952.25078771783,60602.0990749888,51768.20872139398,1968
2025-12-22,55150.3526720866,66764.37312275282,39787.671828692866,42442.54840507155,58406.20026504553,77596.60038911077,44533.199154127346,1978
2025-12-23,55137.859509122085,53269.273737641626,57083.56447299353,55365.098435704036,55467.33568201379,53924.15967178767,47283.448896739465,1987
2025-12-24,55150.47686306048,47808.99471191136,52438.00713771199,41015.32018208963,47610.67900830306,44910.36374292501,66734.52090298537,1993
